rpe = 0.103481413507
stamp_est0        stamp_est1        stamp_gt0         stamp_gt1         trans_error  rot_error
1305031125.425500 1305031122.145600 1305031125.711443 1305031121.982926 0.012890 0.045997
1305031119.715700 1305031111.365700 1305031120.379437 1305031110.979345 0.028485 0.113680
1305031111.535700 1305031115.745700 1305031110.979345 1305031116.143441 0.185229 0.306711
1305031126.445500 1305031126.835700 1305031126.411465 1305031126.779379 0.036322 0.014981
1305031121.975600 1305031120.785700 1305031121.982926 1305031120.379437 0.033578 0.110637
1305031126.335500 1305031127.625500 1305031126.411465 1305031127.647358 0.062427 0.018811
1305031127.755500 1305031109.625700 1305031127.647358 1305031109.311329 0.078100 0.093002
1305031112.965700 1305031107.435800 1305031112.611261 1305031108.043418 0.158343 0.100202
1305031126.876000 1305031127.505500 1305031126.779379 1305031127.647358 0.011373 0.013354
1305031125.695800 1305031127.135500 1305031125.711443 1305031127.279465 0.127266 0.019492
1305031122.895600 1305031108.135800 1305031123.382255 1305031108.143334 0.093965 0.096985
1305031107.395800 1305031111.355700 1305031108.043418 1305031110.979345 0.066332 0.134452
1305031115.285700 1305031120.985600 1305031114.979280 1305031120.379437 0.127158 0.161388
1305031112.105800 1305031109.835800 1305031112.611261 1305031109.311329 0.047686 0.079093
1305031111.015700 1305031111.275700 1305031110.979345 1305031110.979345 0.076428 0.063478
1305031120.605600 1305031108.285800 1305031120.379437 1305031108.143334 0.100249 0.108376
1305031112.885700 1305031127.265500 1305031112.611261 1305031127.279465 0.136256 0.073079
1305031122.625500 1305031112.145700 1305031121.982926 1305031112.611261 0.109982 0.054054
1305031110.725700 1305031121.785600 1305031110.979345 1305031121.683200 0.144876 0.023779
1305031112.365700 1305031126.876000 1305031112.611261 1305031126.779379 0.072041 0.102885
1305031119.725600 1305031117.325600 1305031120.379437 1305031116.912044 0.067962 0.197072
1305031121.815600 1305031117.625700 1305031121.683200 1305031116.912044 0.158989 0.241738
1305031119.945600 1305031112.905800 1305031120.379437 1305031112.611261 0.161173 0.076001
1305031114.545700 1305031116.205600 1305031114.711306 1305031116.143441 0.180528 0.053200
1305031121.415600 1305031126.025500 1305031121.683200 1305031126.079356 0.054594 0.023956
1305031122.525600 1305031107.825800 1305031121.982926 1305031108.043418 0.105295 0.096824
1305031108.955800 1305031114.665800 1305031108.876515 1305031114.711306 0.235952 0.035599
1305031107.355800 1305031114.355700 1305031108.043418 1305031114.711306 0.032398 0.152142
1305031115.975700 1305031117.575700 1305031116.143441 1305031116.912044 0.108183 0.152559
1305031114.705700 1305031111.085700 1305031114.711306 1305031110.979345 0.037672 0.037408
1305031122.115600 1305031122.405600 1305031121.982926 1305031121.982926 0.112653 0.077045
1305031107.425800 1305031109.915800 1305031108.043418 1305031109.311329 0.120069 0.108908
1305031112.935700 1305031111.215700 1305031112.611261 1305031110.979345 0.158299 0.084819
1305031112.905800 1305031125.415600 1305031112.611261 1305031125.711443 0.149390 0.079182
1305031119.755600 1305031120.575600 1305031120.379437 1305031120.379437 0.041915 0.060915
1305031112.586000 1305031108.565800 1305031112.611261 1305031108.475471 0.008889 0.035089
1305031112.175700 1305031120.025600 1305031112.611261 1305031120.379437 0.100348 0.091126
1305031126.075600 1305031112.085800 1305031126.079356 1305031112.611261 0.110633 0.093630
1305031122.445500 1305031110.425800 1305031121.982926 1305031110.979345 0.073637 0.211245
1305031122.965600 1305031110.445700 1305031123.382255 1305031110.979345 0.075086 0.168846
1305031126.965500 1305031116.355700 1305031126.779379 1305031116.411333 0.107145 0.024163
1305031117.085700 1305031117.135600 1305031116.912044 1305031116.912044 0.020592 0.031020
1305031119.905600 1305031114.125700 1305031120.379437 1305031114.711306 0.099159 0.144858
1305031109.355700 1305031112.505700 1305031109.311329 1305031112.611261 0.016876 0.068682
1305031127.455500 1305031127.405500 1305031127.279465 1305031127.279465 0.004846 0.007370
1305031126.655500 1305031126.785500 1305031126.779379 1305031126.779379 0.024558 0.026448
1305031127.885500 1305031110.655700 1305031127.647358 1305031110.979345 0.088713 0.038658
1305031126.405600 1305031112.375700 1305031126.411465 1305031112.611261 0.056483 0.106005
1305031125.245600 1305031122.605600 1305031125.711443 1305031121.982926 0.133718 0.115098
1305031108.345800 1305031112.435700 1305031108.475471 1305031112.611261 0.038702 0.054832
1305031108.025700 1305031124.555500 1305031108.043418 1305031124.147446 0.046313 0.124132
1305031112.586000 1305031120.495600 1305031112.611261 1305031120.379437 0.119219 0.050769
1305031128.125500 1305031112.575700 1305031128.179350 1305031112.611261 0.119469 0.018080
1305031111.185700 1305031126.335500 1305031110.979345 1305031126.411465 0.060994 0.069281
1305031111.565700 1305031121.405600 1305031110.979345 1305031121.683200 0.111038 0.152440
1305031126.795500 1305031108.245800 1305031126.779379 1305031108.143334 0.102360 0.025870
1305031112.015700 1305031116.905700 1305031112.611261 1305031116.912044 0.167900 0.109827
1305031114.215700 1305031124.535600 1305031114.711306 1305031124.147446 0.044852 0.180124
1305031115.355700 1305031108.495800 1305031114.979280 1305031108.475471 0.060780 0.090428
1305031128.035500 1305031114.075700 1305031128.179350 1305031114.711306 0.112360 0.153574
1305031122.205600 1305031122.005600 1305031121.982926 1305031121.982926 0.056531 0.051652
1305031123.245600 1305031121.555600 1305031123.382255 1305031121.683200 0.069285 0.030966
1305031109.365800 1305031116.495700 1305031109.311329 1305031116.411333 0.045348 0.059877
1305031117.625700 1305031125.785500 1305031116.912044 1305031125.711443 0.104979 0.219468
1305031114.555700 1305031109.515800 1305031114.711306 1305031109.311329 0.110798 0.111578
1305031127.355500 1305031113.185700 1305031127.279465 1305031112.611261 0.066363 0.081750
1305031108.075800 1305031124.195500 1305031108.043418 1305031124.147446 0.092907 0.042506
1305031119.865600 1305031123.415600 1305031120.379437 1305031123.382255 0.006133 0.035314
