rpe = 0.118329433997
stamp_est0 	  stamp_est1 	    stamp_gt0 	      stamp_gt1 	trans_error rot_error
1305031116.035600 1305031110.495700 1305031116.080030 1305031110.679606 0.096699 0.067113
1305031102.375800 1305031104.975900 1305031102.175304 1305031104.775327 0.083632 0.118328
1305031101.705900 1305031106.455800 1305031102.175304 1305031106.511129 0.146834 0.080727
1305031105.285800 1305031118.165600 1305031104.775327 1305031118.179323 0.097619 0.112681
1305031109.265700 1305031104.065800 1305031109.275308 1305031104.611336 0.203700 0.114242
1305031104.645800 1305031109.515800 1305031104.611336 1305031109.275308 0.070342 0.134110
1305031120.705600 1305031123.905600 1305031120.415445 1305031123.683753 0.095442 0.114315
1305031124.125800 1305031109.025700 1305031124.211396 1305031109.275308 0.110430 0.077783
1305031106.185800 1305031116.665700 1305031106.143355 1305031116.779298 0.069291 0.070199
1305031112.025700 1305031103.905800 1305031112.411442 1305031104.611336 0.298348 0.074462
1305031112.905800 1305031111.055900 1305031112.743245 1305031111.179326 0.025359 0.035024
1305031115.835700 1305031114.015700 1305031116.080030 1305031114.043301 0.145625 0.108175
1305031108.005800 1305031109.475800 1305031108.011320 1305031109.275308 0.062786 0.096961
1305031123.885500 1305031106.185800 1305031123.683753 1305031106.143355 0.026897 0.018524
1305031121.005600 1305031108.735900 1305031121.583204 1305031108.711411 0.182938 0.033391
1305031109.325700 1305031107.295800 1305031109.275308 1305031107.575454 0.059990 0.074467
1305031117.775700 1305031117.395700 1305031118.179323 1305031116.779298 0.256152 0.275644
1305031120.225600 1305031110.405700 1305031120.415445 1305031110.679606 0.116511 0.093717
1305031111.196000 1305031118.285700 1305031111.179326 1305031118.179323 0.036398 0.038747
1305031108.695800 1305031105.845800 1305031108.711411 1305031106.143355 0.108359 0.081331
1305031117.885700 1305031110.115700 1305031118.179323 1305031110.679606 0.244037 0.190756
1305031125.025500 1305031115.805600 1305031124.211396 1305031116.080030 0.333813 0.137742
1305031111.196000 1305031110.825700 1305031111.179326 1305031110.679606 0.030873 0.044022
1305031119.815600 1305031111.305700 1305031119.879214 1305031111.179326 0.044210 0.054250
1305031112.125700 1305031106.435800 1305031112.411442 1305031106.511129 0.120749 0.083622
1305031103.395800 1305031114.585700 1305031103.143318 1305031114.644136 0.045610 0.088590
1305031113.375700 1305031115.605700 1305031113.443266 1305031116.080030 0.280011 0.258578
1305031113.595700 1305031108.025700 1305031113.443266 1305031108.011320 0.062801 0.084096
1305031112.765700 1305031123.035600 1305031112.743245 1305031123.311327 0.079055 0.098571
1305031125.015500 1305031123.135500 1305031124.211396 1305031123.311327 0.240910 0.108494
1305031110.815700 1305031119.115600 1305031110.679606 1305031118.879208 0.091279 0.015168
1305031108.145900 1305031105.065800 1305031108.211475 1305031104.775327 0.040554 0.042904
1305031123.445600 1305031114.615700 1305031123.311327 1305031114.644136 0.038455 0.049634
1305031101.595800 1305031102.225800 1305031102.175304 1305031102.175304 0.151606 0.086111
1305031118.235600 1305031124.965900 1305031118.179323 1305031124.211396 0.274624 0.135584
1305031101.665800 1305031124.375500 1305031102.175304 1305031124.211396 0.132358 0.093871
1305031106.905800 1305031112.345800 1305031106.511129 1305031112.411442 0.174055 0.113732
1305031122.535600 1305031124.605600 1305031122.314289 1305031124.211396 0.208955 0.143536
1305031102.665800 1305031114.385600 1305031103.143318 1305031114.343331 0.168691 0.022449
1305031118.285700 1305031109.175700 1305031118.179323 1305031109.275308 0.065108 0.033089
1305031124.915600 1305031107.015800 1305031124.211396 1305031106.511129 0.357131 0.062583
1305031119.185600 1305031115.515600 1305031118.879208 1305031115.111230 0.242354 0.158968
1305031121.235600 1305031119.796200 1305031121.583204 1305031119.879214 0.130817 0.019407
1305031118.425600 1305031120.135600 1305031118.511255 1305031119.879214 0.042224 0.039457
1305031109.935800 1305031114.895700 1305031109.275308 1305031115.111230 0.204411 0.170388
1305031104.895800 1305031116.375700 1305031104.775327 1305031116.443369 0.024661 0.088588
1305031108.665700 1305031122.445500 1305031108.711411 1305031122.314289 0.050591 0.053101
1305031120.315600 1305031108.805700 1305031120.415445 1305031108.711411 0.066106 0.031919
1305031107.345800 1305031110.605700 1305031107.575454 1305031110.679606 0.055172 0.061664
1305031115.215700 1305031107.465800 1305031115.111230 1305031107.575454 0.055786 0.059568
1305031113.105700 1305031105.855800 1305031113.079251 1305031106.143355 0.102367 0.058355
1305031110.855700 1305031108.515800 1305031110.679606 1305031108.443610 0.048967 0.045893
1305031111.205700 1305031101.645900 1305031111.179326 1305031102.175304 0.107457 0.068955
1305031109.065800 1305031113.135700 1305031109.275308 1305031113.079251 0.093187 0.069508
1305031119.745700 1305031111.555900 1305031119.879214 1305031111.179326 0.141849 0.095931
1305031107.715700 1305031120.805600 1305031107.575454 1305031120.415445 0.101831 0.114503
1305031117.565600 1305031110.026000 1305031118.179323 1305031110.679606 0.319312 0.209123
1305031114.335700 1305031112.215800 1305031114.343331 1305031112.411442 0.088248 0.058208
1305031113.415700 1305031116.305700 1305031113.443266 1305031116.443369 0.049564 0.050405
1305031119.135700 1305031111.455700 1305031118.879208 1305031111.179326 0.149070 0.066285
1305031106.485800 1305031122.075600 1305031106.511129 1305031121.914931 0.009691 0.019141
1305031111.695700 1305031109.515800 1305031111.179326 1305031109.275308 0.303882 0.240481
1305031112.305700 1305031119.066100 1305031112.411442 1305031118.879208 0.067449 0.018845
1305031102.225800 1305031110.695700 1305031102.175304 1305031110.679606 0.019897 0.017051
1305031103.055800 1305031104.595800 1305031103.143318 1305031104.611336 0.033405 0.011153
1305031110.105700 1305031115.155900 1305031110.679606 1305031115.111230 0.183847 0.142126
1305031110.935700 1305031119.155600 1305031111.179326 1305031118.879208 0.123437 0.025009
1305031113.715700 1305031113.715700 1305031113.443266 1305031113.443266 0.000000 0.000000
1305031118.865700 1305031104.715800 1305031118.879208 1305031104.775327 0.046690 0.029791
1305031117.055700 1305031105.225800 1305031116.779298 1305031104.775327 0.148802 0.227799
1305031106.365800 1305031122.285600 1305031106.511129 1305031122.314289 0.037203 0.021057
1305031124.025500 1305031116.245700 1305031124.211396 1305031116.080030 0.072115 0.065946
1305031120.305600 1305031122.975500 1305031120.415445 1305031123.311327 0.156014 0.074638
1305031108.575900 1305031103.485800 1305031108.443610 1305031103.143318 0.047974 0.096295
1305031103.125900 1305031118.445700 1305031103.143318 1305031118.511255 0.005644 0.009055
1305031115.975700 1305031119.115600 1305031116.080030 1305031118.879208 0.106866 0.039052
1305031122.915600 1305031121.495600 1305031123.311327 1305031121.583204 0.148848 0.065392
1305031114.825700 1305031116.715700 1305031114.644136 1305031116.779298 0.047692 0.059198
1305031123.535600 1305031113.225700 1305031123.683753 1305031113.079251 0.055796 0.037465
1305031122.495600 1305031110.415700 1305031122.314289 1305031110.679606 0.114752 0.148704
1305031116.355700 1305031124.295500 1305031116.443369 1305031124.211396 0.035787 0.037151
1305031122.705700 1305031118.465600 1305031122.314289 1305031118.511255 0.131212 0.069556
1305031113.965700 1305031106.295800 1305031114.043301 1305031106.143355 0.060202 0.019323
1305031111.005700 1305031123.065600 1305031111.179326 1305031123.311327 0.078165 0.063971
1305031102.475800 1305031107.275800 1305031102.175304 1305031107.575454 0.067329 0.015318
1305031113.515700 1305031124.655600 1305031113.443266 1305031124.211396 0.153449 0.122667
1305031120.275700 1305031118.965700 1305031120.415445 1305031118.879208 0.040541 0.019761
1305031111.095700 1305031117.115900 1305031111.179326 1305031116.779298 0.159530 0.250291
1305031112.885700 1305031103.205800 1305031112.743245 1305031103.143318 0.019756 0.030467
1305031117.655600 1305031101.815900 1305031118.179323 1305031102.175304 0.213972 0.095605
1305031115.235700 1305031109.165700 1305031115.111230 1305031109.275308 0.035315 0.072731
1305031110.265800 1305031122.055600 1305031110.679606 1305031121.914931 0.138826 0.150210
1305031117.065700 1305031112.775700 1305031116.779298 1305031112.743245 0.141393 0.236079
1305031117.725700 1305031108.795800 1305031118.179323 1305031108.711411 0.168260 0.065836
1305031102.385800 1305031119.235700 1305031102.175304 1305031119.547382 0.112297 0.051951
1305031117.425700 1305031122.415600 1305031116.779298 1305031122.314289 0.215466 0.279098
1305031124.935500 1305031119.195600 1305031124.211396 1305031118.879208 0.382583 0.139876
1305031123.065600 1305031114.335700 1305031123.311327 1305031114.343331 0.079544 0.059763
1305031122.325500 1305031104.335800 1305031122.314289 1305031104.611336 0.083801 0.021664
1305031122.225500 1305031112.095800 1305031122.314289 1305031112.411442 0.159916 0.080911
1305031121.455600 1305031112.425700 1305031121.583204 1305031112.411442 0.040529 0.010456
1305031115.915600 1305031105.135800 1305031116.080030 1305031104.775327 0.100036 0.106928
1305031101.465900 1305031123.345600 1305031102.175304 1305031123.311327 0.115769 0.052433
1305031119.715700 1305031111.365700 1305031119.879214 1305031111.179326 0.072724 0.069107
1305031107.815800 1305031102.065800 1305031108.011320 1305031102.175304 0.053108 0.053284
1305031111.535700 1305031115.745700 1305031111.179326 1305031116.080030 0.292631 0.236495
1305031111.225700 1305031101.635900 1305031111.179326 1305031102.175304 0.106929 0.063945
1305031121.975600 1305031120.785700 1305031121.914931 1305031120.415445 0.113897 0.107353
1305031104.805800 1305031118.975600 1305031104.775327 1305031118.879208 0.012973 0.044208
1305031124.535600 1305031104.265800 1305031124.211396 1305031104.611336 0.168806 0.121669
1305031102.035800 1305031109.095800 1305031102.175304 1305031109.275308 0.087525 0.031418
1305031112.965700 1305031107.435800 1305031113.079251 1305031107.575454 0.068094 0.037305
1305031117.835700 1305031104.185800 1305031118.179323 1305031104.611336 0.194706 0.080619
1305031116.185700 1305031103.355800 1305031116.080030 1305031103.143318 0.044205 0.092449
1305031122.895600 1305031108.135800 1305031123.311327 1305031108.211475 0.126104 0.062400
1305031105.945800 1305031121.405600 1305031106.143355 1305031121.583204 0.100695 0.042944
1305031107.395800 1305031111.355700 1305031107.575454 1305031111.179326 0.090514 0.071596
1305031115.285700 1305031120.985600 1305031115.111230 1305031120.415445 0.159782 0.141559
1305031102.925800 1305031111.425700 1305031103.143318 1305031111.179326 0.098523 0.061024
1305031112.105800 1305031109.835800 1305031112.411442 1305031109.275308 0.092972 0.093039
1305031111.015700 1305031111.275700 1305031111.179326 1305031111.179326 0.076428 0.063478
1305031120.605600 1305031108.285800 1305031120.415445 1305031108.211475 0.048764 0.092628
1305031104.775800 1305031107.455800 1305031104.775327 1305031107.575454 0.013504 0.028956
1305031122.655600 1305031106.965800 1305031122.314289 1305031106.511129 0.207694 0.115945
1305031115.505700 1305031119.405600 1305031115.111230 1305031119.547382 0.187597 0.136350
1305031122.625500 1305031112.145700 1305031122.314289 1305031112.411442 0.143285 0.019981
1305031110.725700 1305031121.785600 1305031110.679606 1305031121.914931 0.026366 0.028200
1305031111.715700 1305031106.095800 1305031111.179326 1305031106.143355 0.216764 0.154266
1305031102.935800 1305031112.635900 1305031103.143318 1305031112.743245 0.063601 0.051334
1305031117.875700 1305031113.256100 1305031118.179323 1305031113.079251 0.110614 0.035483
1305031119.725600 1305031117.325600 1305031119.879214 1305031116.779298 0.195208 0.291643
1305031121.815600 1305031117.625700 1305031121.914931 1305031118.179323 0.178434 0.024969
